Nombre,Comestibilidad,Caracteristicas
Phyllotopsis nidulans,no comestible,"Sombrero en forma de riñón amarillo-anaranjado aterciopelado, 3-8 cm, láminas amarillas densas. Olor muy desagradable a col fermentada o skunk. Sobre madera de frondosas y coníferas. No comestible por olor y sabor."
Physcia adscendens,no comestible,"Liquen foliáceo gris con lóbulos con soredios en el ápice en forma de capucha, 1-3 cm. Crece sobre corteza y rocas en zonas urbanas. No es seta, es liquen. Tolerante a la contaminación. Sin toxicidad conocida."
Platismatia glauca,no comestible,"Liquen foliáceo gris-azulado con márgenes crespos y sorediados, 5-12 cm. Crece sobre corteza de coníferas y frondosas en zonas húmedas. No es seta, es liquen. Sensible a la contaminación por SO₂. Sin toxicidad."
Pleurotus ostreatus,comestible,"Seta de ostra. Sombrero gris-azulado a beige en abanico, 5-25 cm, láminas decurrentes blancas. Muy cultivada comercialmente. Excelente comestible, sabor suave y textura carnosa. Propiedades medicinales estudiadas."
Pleurotus pulmonarius,comestible,"Ostra de verano o seta de haya. Similar a P. ostreatus pero más pálida (blanco-crema) y de verano. Sombrero 4-15 cm. Excelente comestible. Muy cultivada. Más tolerante al calor que P. ostreatus. Crece sobre frondosas."
Psathyrella candolleana,no comestible,"Psatirela de Candolle. Sombrero frágil beige-blanquecino higrofano, 3-8 cm, con restos de velo en el margen. En grupos sobre madera enterrada de frondosas. Posiblemente comestible pero muy frágil y sin valor culinario real."
Pseudevernia furfuracea,no comestible,"Liquen fruticoide gris-verdoso con superficie inferior marrón, 4-10 cm. Muy usado en perfumería (musgo de árbol). No es seta, es liquen. Puede causar dermatitis de contacto. Sin toxicidad oral. Crece sobre coníferas."
Pseudohydnum gelatinosum,comestible,"Lengua de gato o hidno gelatinoso. Sombrero gelatinoso translúcido blanco-grisáceo con espinas blandas, 2-8 cm. Comestible insípido, textura gelatinosa curiosa. Sobre madera de coníferas en descomposición. Rara pero inconfundible."
Psilocybe azurescens,no comestible,"La psilocibina más potente conocida. Sombrero cónico-umbonado marrón caramelo que azulea fuertemente, 3-10 cm. Contiene hasta 1.8% de psilocibina. Psicoactiva. Sustancia controlada en la mayoría de países. No consumir sin supervisión médica."
Psilocybe caerulescens,no comestible,"Derrumbe o landslide mushroom. Sombrero marrón-oliváceo, 2-7 cm, azulea al roce. Usada en rituales mazatecos (María Sabina). Contiene psilocibina. Sustancia controlada. No consumir sin supervisión médica."
Psilocybe cubensis,no comestible,"Seta mágica o golden teacher. Sombrero dorado-caramelo, 1.5-8 cm, azulea intensamente. La especie psicoactiva más cultivada y conocida mundialmente. Contiene psilocibina y psilocina. Sustancia controlada en la mayoría de países."
Psilocybe cyanescens,no comestible,"Wavy cap. Sombrero ondulado marrón que azulea intensamente, 1.5-5 cm. Muy potente. Crece sobre astillas de madera en zonas urbanas y jardines. Contiene alta concentración de psilocibina. Sustancia controlada."
Psilocybe ovoideocystidiata,no comestible,"Psilocybe del río. Sombrero blanquecino-marrón claro, 1-4 cm, azulea al roce. Crece sobre madera en riberas de ríos. Contiene psilocibina y baeocistina. Psicoactiva. Sustancia controlada. Este de EE.UU."
Psilocybe pelliculosa,no comestible,"Sombrero cónico pequeño marrón-grisáceo con cutícula pelable, 1-2.5 cm, azulea débilmente. Contiene pequeñas cantidades de psilocibina. Psicoactiva débil. Sustancia controlada. Noroeste de EE.UU. bajo coníferas."
Retiboletus ornatipes,comestible,"Boleto de pie ornado. Sombrero gris-amarillento, 5-15 cm. Pie amarillo vivo con retículo prominente. Tubos y poros amarillos que no azulean. Comestible, aunque amargo si no se cocina bien. Bajo frondosas de este de Norteamérica."
Rhytisma acerinum,no comestible,"Mancha de brea del arce. Produce manchas negras circulares de 1-2 cm sobre hojas de arce (estromas). Parásito foliar cosmético, raramente mata el árbol. No es seta sensu stricto. Sin valor culinario ni toxicidad."
Sarcomyxa serotina,comestible,"Seta tardía u ostra de invierno (= Panellus serotinus). Sombrero verde-oliváceo a marrón viscoso, 5-12 cm. Crece en otoño-invierno sobre madera. Comestible de calidad moderada. Sabor suave. Requiere cocción."
Sarcoscypha austriaca,no comestible,"Copa escarlata austriaca. Copa profunda rojo brillante, 2-8 cm, exterior blanquecino lanoso. Una de las primeras setas del año (invierno-primavera). No comestible por textura coriácea y sabor insípido. Sobre madera enterrada."
Sarcosoma globosum,no comestible,"Sarcosoma globoso. Copa globosa negra-gelatinosa llena de líquido, 4-10 cm. Espectacular. Crece bajo coníferas en primavera temprana. Considerada indicadora de bosques maduros. No comestible. Protegida en varios países nórdicos."
Schizophyllum commune,no comestible,"Seta de las mil láminas. Sombrero blanquecino lobulado, 1-4 cm, láminas que se dividen longitudinalmente. La especie con más tipos sexuales conocidos (>23,000). Saprofita universal. Puede causar infecciones oportunistas. No comestible."
Stereum hirsutum,no comestible,"Corteza falsa hirsuta. Fructificación en repisa o extendida, superficie superior amarillo-naranja zonada y peluda, 2-8 cm. Muy común sobre madera de frondosas. Coriácea, no comestible. Sin toxicidad conocida."
Stereum ostrea,no comestible,"Corteza de ostra falsa. Fructificación en repisa con zonas concéntricas multicolores (marrón, naranja, crema), 3-10 cm. Muy llamativa. Sobre madera de frondosas. Coriácea, no comestible. Sin toxicidad conocida."
Stropharia aeruginosa,no comestible,"Estrofa verde-azulada. Sombrero verde-azulado viscoso con escamas blancas, 3-8 cm. Muy llamativo. Puede causar ligeras molestias gastrointestinales. No recomendada para consumo. En bosques sobre tierra y hojarasca."
Stropharia ambigua,no comestible,"Sombrero amarillo-pajizo viscoso con escamas blancas colgantes en el margen, 5-15 cm. Láminas grises. Sin toxicidad conocida documentada pero no recomendada para consumo. Bajo coníferas en el noroeste de EE.UU."
Suillus americanus,comestible,"Suilus americano o baboso del pino weymouth. Sombrero amarillo con manchas rojas viscoso, 4-10 cm. Simbionte estricto de Pinus strobus. Comestible tras retirar cutícula viscosa. Calidad moderada. Este de Norteamérica."
Suillus granulatus,comestible,"Suilus granulado o baboso granuloso. Sombrero marrón-canela viscoso, 4-12 cm, pie con gránulos amarillentos sin anillo. Comestible tras retirar la cutícula, sabor agradable. Simbionte de pinos de dos hojas. Muy común."
Suillus grevillei,comestible,"Suilus de Greville o baboso del alerce. Sombrero naranja-dorado viscoso brillante, 4-12 cm, con anillo membranoso. Comestible tras retirar cutícula. Simbionte exclusivo de alerces (Larix). Sabor moderado. Europa y Norteamérica."
Suillus luteus,comestible,"Suilus luteo o baboso amarillo. Sombrero marrón viscoso, 5-12 cm, con anillo membranoso violáceo-marrón. Comestible tras retirar cutícula viscosa. Simbionte de pinos. El más común del género en Europa. Calidad moderada."
Suillus spraguei,comestible,"Suilus pintado o baboso de dos pinos. Sombrero seco rojo-rosado con escamas fibrosas, 5-12 cm. Inusual en el género por carecer de cutícula viscosa. Comestible de calidad moderada. Simbionte de pinos de cinco hojas. EE.UU."
Tapinella atrotomentosa,no comestible,"Sombrero marrón aterciopelado seco, 6-20 cm, pie excéntrico marrón-negruzco aterciopelado. Muy amarga. Contiene atromentin (antifúngico). No comestible por amargor intenso. Sobre tocones de coníferas. Sin toxicidad conocida."
Trametes betulina,no comestible,"Políporo del abedul (= Lenzites betulina). Sombrero en repisa grisáceo zonado, poros que se transforman en láminas en la parte interna, 5-15 cm. Sobre madera muerta de frondosas. Coriáceo, no comestible."
Trametes gibbosa,no comestible,"Políporo giboso. Sombrero en repisa blanco-grisáceo con joroba característica, 10-30 cm, poros alargados. A veces colonizado por algas verdes. Sobre frondosas muertas. Coriáceo, no comestible. Sin toxicidad conocida."
Trametes hirsuta,no comestible,"Políporo hirsuto. Sombrero en repisa gris con pelos grises densos, 5-15 cm, poros pequeños blancos. Muy común sobre frondosas muertas. Coriáceo, no comestible. Causa podredumbre blanca. Sin toxicidad conocida."
Trametes ochracea,no comestible,"Políporo ocre. Sombrero en repisa con zonas concéntricas beige-ocre, 5-12 cm. Similar a T. versicolor pero sin colores brillantes. Sobre frondosas muertas. Coriáceo, no comestible. Sin toxicidad conocida."
Trametes versicolor,no comestible,"Cola de pavo o coriolus. Sombrero en repisa con zonas concéntricas multicolores muy vistosas, 3-10 cm. Muy estudiada por su polisacárido PSK (inmunomodulador). No comestible (duro) pero usado en suplementos. Muy común."
Tremella mesenterica,comestible,"Cerebro de bruja o gelatina amarilla. Masa gelatinosa amarillo-naranja lobulada, 2-10 cm, sobre madera de frondosas. Comestible insípida con textura gelatinosa curiosa. Usada en cocina asiática. Parásito de hongos corticiáceos."
Trichaptum biforme,no comestible,"Políporo violáceo. Sombrero en repisa grisáceo con borde violáceo (en fresco), 3-10 cm, poros que se alargan en dientes. Sobre frondosas muertas, especialmente abedul. Coriáceo, no comestible. Sin toxicidad conocida."
Tricholoma murrillianum,comestible,"Matsutake del Pacífico. Sombrero blanco con fibras marrones, 8-20 cm, pie macizo, anillo algodonoso. Aroma especiado intensísimo muy apreciado en Japón (matsutake). Excelente y carísimo. Simbionte de pinos del noroeste."
Tricholomopsis rutilans,no comestible,"Tricoloma escarlata. Sombrero amarillo cubierto de escamas rojo-vinosas, 5-12 cm, láminas amarillas. Muy amarga. No comestible por sabor. Crece sobre tocones y madera de coníferas. Sin toxicidad conocida."
Tylopilus felleus,no comestible,"Boleto amargo o hiel. Sombrero marrón 6-20 cm, pie con retículo oscuro sobre fondo crema, tubos que rosean al madurar. Extremadamente amargo (lo más pequeño arruina un plato). No tóxico pero no comestible. Confundible con Boletus edulis."
Tylopilus rubrobrunneus,no comestible,"Boleto rojo-marrón amargo. Sombrero rojo-vino a marrón oscuro, 6-15 cm, tubos y poros rosados-rojizos. Muy amargo. No comestible. Habita bajo frondosas del este de Norteamérica en verano-otoño."
Urnula craterium,no comestible,"Copa del diablo o urna de Craterio. Copa negra profunda en forma de urna, 3-8 cm, sobre madera enterrada de frondosas en primavera temprana. No comestible por textura coriácea. Visualmente impactante. Sin toxicidad conocida."
Verpa bohemica,no comestible,"Verpa bohemia o falsa colmenilla arrugada. Sombrero cerebriforme marrón unido al pie solo en el ápice, 2-5 cm. Contiene giromitrina en bajas concentraciones. Consumida en algunos países con precaución, pero no recomendada."
Volvopluteus gloiocephalus,no comestible,"Pluteo viscoso. Sombrero gris-blanquecino viscoso, 6-15 cm, láminas libres que rosean, volva bien desarrollada. Puede confundirse con Amanita spp. por la volva. Posiblemente tóxica en algunas personas. No recomendada."
Vulpicida pinastri,no comestible,"Liquen fruticoide amarillo-verdoso con polvillo soredial amarillo intenso, 2-6 cm. Crece sobre corteza de coníferas. No es seta, es liquen. Contiene ácido vulpínico (tóxico para mamíferos). Usada como veneno para zorros históricamente."
Xanthoria parietina,no comestible,"Liquen foliáceo naranja brillante con apotecios naranjas, 2-8 cm. Muy común sobre rocas, tejas y corteza en zonas urbanas costeras. No es seta, es liquen. Nitrofilico (indicador de contaminación por nitrógeno). Sin toxicidad oral."
